"rep","b","g","x","c","a","w","r","mu","m","theta","tau_s","ep_s","S.pos","P.pos","I_s.pos","I_p.pos","H.pos","S.neg","P.neg","I_s.neg","I_p.neg","H.neg","S.pt.eq","P.pt.eq","I_s.pt.eq","I_p.pt.eq","H.pt.eq","S.cyc1","P.cyc1","I_s.cyc1","I_p.cyc1","H.cyc1","S.cyc2","P.cyc2","I_s.cyc2","I_p.cyc2","H.cyc2","S.NA","P.NA","I_s.NA","I_p.NA","H.NA","qual"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,8,0.15,0.499053617543541,2,0.2,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","8.20627663262546e-17","5.11485026028418e-17","9.68410446215225e-17","6.11172142494946e-17","1.35544978791202e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,8,0.15,0.499053617543541,2,0.4,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,8,0.15,0.499053617543541,2,0.6,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","5.72191684549304e-17","0","6.3994079049048e-17","0","1.36566670868901e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,8,0.15,0.499053617543541,2,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","1.23245203596307e-16","1.11031433811966e-16","1.54183388896683e-16","1.12830835372835e-16","2.04584270003377e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,8,0.15,0.499053617543541,2,1,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,8,0.15,0.499053617543541,2.5,0.2,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","1.30999353864442e-16","1.54750572847944e-16","1.35912544787968e-16","1.36059129963611e-16","1.64082493124586e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,8,0.15,0.499053617543541,2.5,0.4,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","1.34967423516952e-16","1.47673601671832e-16","1.28052132173692e-16","1.08653840170385e-16","2.15781635518665e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,8,0.15,0.499053617543541,2.5,0.6,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","1.18181240998416e-16","1.19841483475182e-16","1.08337198891266e-16","1.26977113670367e-16","2.38476768021845e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,8,0.15,0.499053617543541,2.5,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","1.29810715498747e-16","1.39007989678648e-16","1.75944143506008e-16","1.12287264914089e-16","2.84741138534535e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,8,0.15,0.499053617543541,2.5,1,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","9.85844336199613e-17","1.07900827391509e-16","1.15559571743515e-16","1.20397304730561e-16","2.15040225977756e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,8,0.15,0.499053617543541,3,0.2,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","1.98692668596859e-16","1.77890712465098e-16","1.97653255743204e-16","1.90349399721803e-16","1.95094059462555e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,8,0.15,0.499053617543541,3,0.4,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,8,0.15,0.499053617543541,3,0.6,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","1.92379797496799e-16","1.77401505005531e-16","1.61938374490924e-16","1.43875004000738e-16","2.69189950478303e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,8,0.15,0.499053617543541,3,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","5.47808054977551e-17","7.22219884257444e-17","5.69782840127523e-17","4.04720230139985e-17","7.75206352538492e-17","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,8,0.15,0.499053617543541,3,1,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","4.09787040316959e-16","4.28798037329744e-16","3.7719008137925e-16","3.76805591059389e-16","3.9235867015553e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,8,0.15,0.499053617543541,3.5,0.2,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","2.01241123249804e-16","2.14777998359553e-16","1.47639800501678e-16","1.80724510446616e-16","2.07041183769632e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,8,0.15,0.499053617543541,3.5,0.4,27,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","1.58586072045376","1.58586072045089","1.58586072045315","1.58586072044864","1.58586072045898","FALSE","FALSE","FALSE","FALSE","FALSE","extinct"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,8,0.15,0.499053617543541,3.5,0.6,27,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","3.13016705886242","3.130167058723","3.13016705880459","3.13016705865715","3.13016705878987","FALSE","FALSE","FALSE","FALSE","FALSE","extinct"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,8,0.15,0.499053617543541,3.5,0.8,27,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","3.70468101207676","3.70468101183531","3.70468101196893","3.70468101167597","3.70468101173741","FALSE","FALSE","FALSE","FALSE","FALSE","extinct"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,8,0.15,0.499053617543541,3.5,1,27,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","3.99138010315395","3.9913801032894","3.99138010313573","3.99138010333017","3.99138010316877","FALSE","FALSE","FALSE","FALSE","FALSE","extinct"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,8,0.15,0.499053617543541,4,0.2,27,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","2.92584110949281","2.92584110948978","2.92584110949971","2.92584110949696","2.92584110953439","FALSE","FALSE","FALSE","FALSE","FALSE","extinct"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,8,0.15,0.499053617543541,4,0.4,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,8,0.15,0.499053617543541,4,0.6,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,8,0.15,0.499053617543541,4,0.8,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,8,0.15,0.499053617543541,4,1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,8,0.15,0.160900252382271,2,0.2,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","4.7903052573935e-17","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,8,0.15,0.160900252382271,2,0.4,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,8,0.15,0.160900252382271,2,0.6,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,8,0.15,0.160900252382271,2,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,8,0.15,0.160900252382271,2,1,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,8,0.15,0.160900252382271,2.5,0.2,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,8,0.15,0.160900252382271,2.5,0.4,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,8,0.15,0.160900252382271,2.5,0.6,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,8,0.15,0.160900252382271,2.5,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,8,0.15,0.160900252382271,2.5,1,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,8,0.15,0.160900252382271,3,0.2,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","1.03271041190983e-16","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,8,0.15,0.160900252382271,3,0.4,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","1.49628965876395e-16","1.33595663093933e-16","1.27257558760226e-16","7.90662502136588e-17","2.6750921855631e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,8,0.15,0.160900252382271,3,0.6,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,8,0.15,0.160900252382271,3,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,8,0.15,0.160900252382271,3,1,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","5.68911304514245e-17","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,8,0.15,0.160900252382271,3.5,0.2,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","1.41257389676679e-16","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,8,0.15,0.160900252382271,3.5,0.4,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,8,0.15,0.160900252382271,3.5,0.6,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,8,0.15,0.160900252382271,3.5,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","1.55301085694832e-16","9.54633922360163e-17","1.46807377186571e-16","6.20865254528622e-17","3.0295016394897e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,8,0.15,0.160900252382271,3.5,1,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","8.23563685059504e-17","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,8,0.15,0.160900252382271,4,0.2,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,8,0.15,0.160900252382271,4,0.4,27,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","3.04247776968501","3.04247776940242","3.0424777695656","3.04247776932859","3.04247776957416","FALSE","FALSE","FALSE","FALSE","FALSE","extinct"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,8,0.15,0.160900252382271,4,0.6,27,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","3.55841400061489","3.55841400054227","3.55841400044723","3.55841400054274","3.55841400037473","FALSE","FALSE","FALSE","FALSE","FALSE","extinct"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,8,0.15,0.160900252382271,4,0.8,27,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","3.60145742555634","3.60145742680904","3.601457425675","3.60145742690924","3.60145742592476","FALSE","FALSE","FALSE","FALSE","FALSE","extinct"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,8,0.15,0.160900252382271,4,1,27,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","3.5915179136857","3.59151791304748","3.59151791381098","3.59151791302135","3.59151791351254","FALSE","FALSE","FALSE","FALSE","FALSE","extinct"
3,2.69215063112408,0.862190829287283,1,0.8,0.1,1,8,0.15,0.505659395852126,2,0.2,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","9.62958051164094e-17","6.96614629913893e-17","1.13722195733109e-16","5.55158526448707e-17","1.17974414042592e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
3,2.69215063112408,0.862190829287283,1,0.8,0.1,1,8,0.15,0.505659395852126,2,0.4,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","9.38790535292155e-17","7.99142307491286e-17","9.3780598127268e-17","7.47645851020081e-17","1.35633890370388e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
3,2.69215063112408,0.862190829287283,1,0.8,0.1,1,8,0.15,0.505659395852126,2,0.6,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","2.19881588278391e-17","1.16805063815648e-16","9.14542309258303e-17","7.96145401853834e-17","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
3,2.69215063112408,0.862190829287283,1,0.8,0.1,1,8,0.15,0.505659395852126,2,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","1.40873416905873e-16","1.26384344394829e-16","1.43679964487173e-16","9.0005345134571e-17","1.99754302846613e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
3,2.69215063112408,0.862190829287283,1,0.8,0.1,1,8,0.15,0.505659395852126,2,1,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
3,2.69215063112408,0.862190829287283,1,0.8,0.1,1,8,0.15,0.505659395852126,2.5,0.2,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
3,2.69215063112408,0.862190829287283,1,0.8,0.1,1,8,0.15,0.505659395852126,2.5,0.4,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","1.07623568618462e-16","1.09010857130194e-16","1.25024960274325e-16","6.01086156584722e-17","1.74694682840962e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
3,2.69215063112408,0.862190829287283,1,0.8,0.1,1,8,0.15,0.505659395852126,2.5,0.6,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","1.36072010631099e-16","1.61511679884022e-16","1.1463813847554e-16","1.17047111927482e-16","2.38548954198224e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
3,2.69215063112408,0.862190829287283,1,0.8,0.1,1,8,0.15,0.505659395852126,2.5,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","2.09788616503594e-16","2.09792620602165e-16","2.07766538048003e-16","1.77285226166686e-16","2.80271393064076e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
3,2.69215063112408,0.862190829287283,1,0.8,0.1,1,8,0.15,0.505659395852126,2.5,1,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
3,2.69215063112408,0.862190829287283,1,0.8,0.1,1,8,0.15,0.505659395852126,3,0.2,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","4.03447412348312e-17","0","3.95635905143323e-17","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
3,2.69215063112408,0.862190829287283,1,0.8,0.1,1,8,0.15,0.505659395852126,3,0.4,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","2.04427909775889e-16","2.0580755942002e-16","2.47230379520728e-16","2.21284207185306e-16","2.62973215715256e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
3,2.69215063112408,0.862190829287283,1,0.8,0.1,1,8,0.15,0.505659395852126,3,0.6,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
